2014,9
2013,11
2012,13
2011,15
2010,11
2009,11
2008,16
2007,8
2006,6
2005,9
2004,12
2003,5
2002,9
2001,9
2000,4
1999,5
1998,2
1997,7
1996,4
1993,1
