2015,182
2014,296
2013,277
2012,226
2011,235
2010,226
2009,205
2008,198
2007,172
2006,138
2005,121
2004,129
2003,123
2002,93
2001,71
2000,72
1999,65
1998,51
1997,31
1996,6
1995,1
