Lee, Kyu Taek	29
Horii, Akira	29
Ho, J J	29
Hirakawa, Kosei	29
Han, Haiyong	29
Chen, Zhen	29
Bueno-de-Mesquita, H Bas	29
Bloomston, Mark	29
Ben-Josef, Edgar	29
Wang, Li	28
Takahashi, T	28
Ryan, David P	28
Reber, H A	28
Pedrazzoli, Sergio	28
Park, Seung Woo	28
Panozzo, M P	28
Mizuno, Nobumasa	28
Matsuno, Seiki	28
Maisonneuve, P	28
Kayahara, M	28
Ishiwata, Toshiyuki	28
Hamada, Shin	28
Ding, Xian-Zhong	28
Bartsch, Detlef K	28
Azmi, Asfar S	28
Zhao, Yu-Pei	27
Zalupski, Mark M	27
Yu, Xianjun	27
Yanaga, Katsuhiko	27
Takeda, Shin	27
Schneider, Günter	27
Satake, K	27
Mori, Masaki	27
Matsuo, Yoichi	27
Matsubayashi, Hiroyuki	27
Leach, Steven D	27
Jacobs, Eric J	27
Ishii, Hiroshi	27
Heinemann, V	27
Furukawa, T	27
Falconi, Massimo	27
Anderson, Kristin E	27
Zhang, Bo	26
Takamori, Hiroshi	26
Takagi, H	26
Shi, Chanjuan	26
Schwarz, Roderich E	26
Satoh, Kennichi	26
Nakamori, Shoji	26
Maisonneuve, Patrick	26
Lowenfels, Albert B	26
Klöppel, Günter	26
Klimstra, David S	26
Khaw, Kay-Tee	26
Imaoka, S	26
Ghaneh, P	26
Funahashi, Hitoshi	26
Fernandez-Zapico, Martin E	26
Fendrich, Volker	26
Douglass, H O	26
Dong, Ming	26
Chen, Ge	26
Bergmann, Frank	26
Adler, Guido	26
Yanagimoto, Hiroaki	25
Wang, Wei	25
Tjønneland, Anne	25
Tateishi, Keisuke	25
Takahashi, M	25
Sugimoto, Hiroyuki	25
Sawai, Hirozumi	25
Saitoh, Y	25
Risch, Harvey A	25
Pour, Parviz M	25
Pandol, Stephen J	25
Okada, Yuji	25
Nakamura, Kazuyuki	25
Kong, Dejuan	25
Ko, Andrew H	25
Klöppel, G	25
Jimeno, Antonio	25
Jauch, Karl-Walter	25
Imamura, Masayuki	25
Henne-Bruns, D	25
Hayakawa, T	25
Haglund, C	25
Goggins, M	25
Funakoshi, Akihiro	25
Endo, Itaru	25
Chang, David K	25
Cameron, J L	25
Buscail, Louis	25
Buchholz, Malte	25
Brunicardi, F Charles	25
Boutron-Ruault, Marie-Christine	25
Batra, S K	25
Ahmad, Aamir	25
Zeh, Herbert J	24
Wu, Erxi	24
Wenger, F A	24
Warshaw, Andrew L	24
Wang, Zheng	24
Wang, Peng	24
Thayer, Sarah P	24
Tempero, Margaret A	24
Sowa, M	24
Schmidt, Jan	24
Scheithauer, W	24
Porta, Miquel	24
Patel, Alpa V	24
Okada, S	24
Natsugoe, Shoji	24
Nagakawa, T	24
Mizuno, Suguru	24
Mizumoto, K	24
Manabe, T	24
Li, Zhao-Shen	24
Lemoine, Nicholas R	24
Laheru, Daniel A	24
La Vecchia, Carlo	24
Kuramitsu, Yasuhiro	24
Kraft, Peter	24
Kawa, S	24
Jenab, Mazda	24
Izbicki, Jakob R	24
Hosotani, R	24
Hinz, Ulf	24
Gullo, L	24
Giovannucci, Edward L	24
Bassi, C	24
de Andrade, Mariza	23
Zhao, Ming	23
Ye, Weimin	23
Yamaguchi, K	23
Wang, Chunyou	23
Takeyama, Hiromitsu	23
Takahashi, Hiroki	23
Sperti, C	23
Riboli, Elio	23
Permert, J	23
Overvad, Kim	23
Oka, Masaaki	23
O'Reilly, Eileen M	23
Nomoto, Shuji	23
Naito, Zenya	23
Morizane, Chigusa	23
Liu, Yang	23
Liao, Quan	23
Lee, Woo Jung	23
Lee, Jong Kyun	23
Koong, Albert C	23
Kaushal, Sharmeela	23
Itoi, Takao	23
Hirota, Masahiko	23
Hines, O Joe	23
Hao, Jihui	23
Goggins, Michael G	23
Ghadirian, P	23
Fujimoto, Koji	23
Fong, Yuman	23
Ellenrieder, Volker	23
Egawa, Naoto	23
Di Carlo, V	23
Cullen, Joseph J	23
Canto, Marcia Irene	23
Brunner, Thomas B	23
Brekken, Rolf A	23
Billadeau, Daniel D	23
Bao, Bin	23
Bang, Seungmin	23
Allen, Peter J	23
Abe, M	23
Vineis, Paolo	22
Tsujino, Takeshi	22
Townsend, C M	22
Sato, N	22
Ryu, Ji Kon	22
Ren, He	22
Rajeshkumar, N V	22
Ozaki, H	22
Oettle, Helmut	22
Ni, Quanxing	22
Motoo, Y	22
Mohammad, Ramzi M	22
Li, Ang	22
Lerch, Markus M	22
Kremer, B	22
Kawabe, Takao	22
Jacobi, C A	22
Ioka, Tatsuya	22
Iacobuzio-Donahue, Christine	22
Huang, Chen	22
Grizzle, William E	22
